date,link_id,site,capacity_mbps,utilization_mbps,utilization_pct,ticket_count,outage_count
2025-01-01,wan-01,metro-core,1000,377.2,37.7,2,0
2025-01-02,wan-01,metro-core,1000,528.5,52.8,1,0
2025-01-03,wan-01,metro-core,1000,473.2,47.3,1,0
2025-01-04,wan-01,metro-core,1000,502.9,50.3,3,0
2025-01-05,wan-01,metro-core,1000,382.7,38.3,0,0
2025-01-06,wan-01,metro-core,1000,413.5,41.4,2,0
2025-01-07,wan-01,metro-core,1000,462.9,46.3,3,0
2025-01-08,wan-01,metro-core,1000,471.1,47.1,1,0
2025-01-09,wan-01,metro-core,1000,627.8,62.8,1,0
2025-01-10,wan-01,metro-core,1000,524.4,52.4,0,0
2025-01-11,wan-01,metro-core,1000,508.4,50.8,2,0
2025-01-12,wan-01,metro-core,1000,418.1,41.8,1,0
2025-01-13,wan-01,metro-core,1000,389.4,38.9,3,0
2025-01-14,wan-01,metro-core,1000,425.3,42.5,2,0
2025-01-15,wan-01,metro-core,1000,377.6,37.8,3,0
2025-01-16,wan-01,metro-core,1000,443.4,44.3,1,0
2025-01-17,wan-01,metro-core,1000,447.2,44.7,2,0
2025-01-18,wan-01,metro-core,1000,419.0,41.9,2,0
2025-01-19,wan-01,metro-core,1000,484.0,48.4,1,0
2025-01-20,wan-01,metro-core,1000,347.6,34.8,0,0
2025-01-21,wan-01,metro-core,1000,318.1,31.8,2,0
2025-01-22,wan-01,metro-core,1000,383.9,38.4,2,0
2025-01-23,wan-01,metro-core,1000,451.8,45.2,0,0
2025-01-24,wan-01,metro-core,1000,484.1,48.4,0,0
2025-01-25,wan-01,metro-core,1000,489.5,48.9,1,0
2025-01-26,wan-01,metro-core,1000,383.5,38.4,2,0
2025-01-27,wan-01,metro-core,1000,356.4,35.6,1,0
2025-01-28,wan-01,metro-core,1000,381.9,38.2,1,0
2025-01-29,wan-01,metro-core,1000,463.5,46.3,2,0
2025-01-30,wan-01,metro-core,1000,497.4,49.7,0,0
2025-01-31,wan-01,metro-core,1000,545.9,54.6,2,0
2025-02-01,wan-01,metro-core,1000,544.3,54.4,1,0
2025-02-02,wan-01,metro-core,1000,447.4,44.7,2,0
2025-02-03,wan-01,metro-core,1000,404.4,40.4,2,0
2025-02-04,wan-01,metro-core,1000,424.8,42.5,1,0
2025-02-05,wan-01,metro-core,1000,452.3,45.2,1,0
2025-02-06,wan-01,metro-core,1000,576.0,57.6,4,0
2025-02-07,wan-01,metro-core,1000,607.8,60.8,3,0
2025-02-08,wan-01,metro-core,1000,558.2,55.8,3,0
2025-02-09,wan-01,metro-core,1000,466.6,46.7,3,0
2025-02-10,wan-01,metro-core,1000,475.4,47.5,1,0
2025-02-11,wan-01,metro-core,1000,399.0,39.9,4,0
2025-02-12,wan-01,metro-core,1000,487.4,48.7,3,0
2025-02-13,wan-01,metro-core,1000,563.6,56.4,0,0
2025-02-14,wan-01,metro-core,1000,624.4,62.4,4,0
2025-02-15,wan-01,metro-core,1000,492.4,49.2,3,0
2025-02-16,wan-01,metro-core,1000,411.5,41.2,0,0
2025-02-17,wan-01,metro-core,1000,350.6,35.1,2,0
2025-02-18,wan-01,metro-core,1000,400.7,40.1,3,0
2025-02-19,wan-01,metro-core,1000,419.2,41.9,4,0
2025-02-20,wan-01,metro-core,1000,447.6,44.8,3,0
2025-02-21,wan-01,metro-core,1000,525.1,52.5,1,0
2025-02-22,wan-01,metro-core,1000,378.7,37.9,0,0
2025-02-23,wan-01,metro-core,1000,381.0,38.1,2,0
2025-02-24,wan-01,metro-core,1000,386.4,38.6,0,0
2025-02-25,wan-01,metro-core,1000,352.7,35.3,2,0
2025-02-26,wan-01,metro-core,1000,416.5,41.7,0,0
2025-02-27,wan-01,metro-core,1000,521.3,52.1,5,0
2025-02-28,wan-01,metro-core,1000,553.4,55.3,0,0
2025-03-01,wan-01,metro-core,1000,471.2,47.1,2,0
2025-03-02,wan-01,metro-core,1000,514.4,51.4,2,0
2025-03-03,wan-01,metro-core,1000,399.1,39.9,4,0
2025-03-04,wan-01,metro-core,1000,418.3,41.8,4,0
2025-03-05,wan-01,metro-core,1000,469.5,47.0,1,0
2025-03-06,wan-01,metro-core,1000,589.7,59.0,4,0
2025-03-07,wan-01,metro-core,1000,609.7,61.0,2,0
2025-03-08,wan-01,metro-core,1000,484.7,48.5,0,0
2025-03-09,wan-01,metro-core,1000,460.5,46.1,1,0
2025-03-10,wan-01,metro-core,1000,459.9,46.0,1,0
2025-03-11,wan-01,metro-core,1000,480.9,48.1,2,0
2025-03-12,wan-01,metro-core,1000,500.7,50.1,2,0
2025-03-13,wan-01,metro-core,1000,584.4,58.4,3,0
2025-03-14,wan-01,metro-core,1000,561.1,56.1,1,0
2025-03-15,wan-01,metro-core,1000,478.4,47.8,4,0
2025-03-16,wan-01,metro-core,1000,498.3,49.8,1,0
2025-03-17,wan-01,metro-core,1000,377.8,37.8,0,0
2025-03-18,wan-01,metro-core,1000,406.2,40.6,2,0
2025-03-19,wan-01,metro-core,1000,529.9,53.0,2,0
2025-03-20,wan-01,metro-core,1000,480.5,48.1,0,0
2025-03-21,wan-01,metro-core,1000,565.5,56.5,2,0
